pais,tema,tema_descripcion,materia,grado,parametro,porcentaje
do,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Ciencias,6,Menos de 7 semestres,0.389
do,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Lectura,3,7 o más semestres,0.66
do,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Lectura,3,Menos de 7 semestres,0.34
do,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Lectura,6,7 o más semestres,0.6
do,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Lectura,6,Menos de 7 semestres,0.4
do,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Matemáticas,3,7 o más semestres,0.67
do,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Matemáticas,3,Menos de 7 semestres,0.33
do,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Matemáticas,6,7 o más semestres,0.639
do,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Matemáticas,6,Menos de 7 semestres,0.361
uy,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Ciencias,6,7 o más semestres,0.535
uy,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Ciencias,6,Menos de 7 semestres,0.465
uy,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Lectura,3,7 o más semestres,0.482
uy,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Lectura,3,Menos de 7 semestres,0.518
uy,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Lectura,6,7 o más semestres,0.535
uy,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Lectura,6,Menos de 7 semestres,0.465
uy,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Matemáticas,3,7 o más semestres,0.482
uy,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Matemáticas,3,Menos de 7 semestres,0.518
uy,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Matemáticas,6,7 o más semestres,0.535
uy,Duración de la formación del docente,Frecuencia de duración de la formación inicial del docente por asignatura,Matemáticas,6,Menos de 7 semestres,0.465
ar,Formación continua en la disciplina que enseña,Frecuencia de docente que recibieron formación continua en la disciplina que enseña en los últimos dos años por asignatura,Ciencias,6,No,0.653
ar,Formación continua en la disciplina que enseña,Frecuencia de docente que recibieron formación continua en la disciplina que enseña en los últimos dos años por asignatura,Ciencias,6,Sí,0.347
ar,Formación continua en la disciplina que enseña,Frecuencia de docente que recibieron formación continua en la disciplina que enseña en los últimos dos años por asignatura,Lectura,3,No,0.346
ar,Formación continua en la disciplina que enseña,Frecuencia de docente que recibieron formación continua en la disciplina que enseña en los últimos dos años por asignatura,Lectura,3,Sí,0.654
ar,Formación continua en la disciplina que enseña,Frecuencia de docente que recibieron formación continua en la disciplina que enseña en los últimos dos años por asignatura,Lectura,6,No,0.457
ar,Formación continua en la disciplina que enseña,Frecuencia de docente que recibieron formación continua en la disciplina que enseña en los últimos dos años por asignatura,Lectura,6,Sí,0.543
ar,Formación continua en la disciplina que enseña,Frecuencia de docente que recibieron formación continua en la disciplina que enseña en los últimos dos años por asignatura,Matemáticas,3,No,0.542
ar,Formación continua en la disciplina que enseña,Frecuencia de docente que recibieron formación continua en la disciplina que enseña en los últimos dos años por asignatura,Matemáticas,3,Sí,0.458
